event,lower_bound_duration,upper_bound_duration
message,604800,1209600
mean,10800.0,172800.0
take,120.0,600.0
suggestion,3600.0,86400.0
offer,600.0,10800.0
resign,86400.0,2592000.0
say,5.0,60.0
seek,10.0,600.0
prove,31536000.0,315360000.0
outnumber,604800,7776000.0
remain,2592000.0,2592000.0
describe,20.0,300.0
hold,259200.0,7776000.0
wait,60.0,3600.0
see,2592000.0,31536000.0
survive,604800,7776000.0
report,60.0,180.0
call,1.0,20.0
lament,5.0,20.0
tighten,604800,7776000.0
need,7776000.0,94608000.0
help,31536000.0,157680000.0
meet,86400.0,2592000.0
conversations,900.0,10800.0
sketch,900.0,10800.0
encounter,604800,7776000.0
tell,300.0,10800.0
be,86400.0,604800
start,1.0,5.0
ask,5.0,300.0
object,604800,7776000.0
fire,10.0,60.0
outcome,86400.0,1209600
session,900.0,10800.0
reject,60.0,3600.0
objections,10.0,3600.0
block,86400.0,1209600
trial,2592000.0,31536000.0
suspect,604800,7776000.0
blow,1.0,10.0
bring,31536000.0,315360000.0
dispute,604800,1209600
hail,604800,7776000.0
rule,946080000.0,1261440000.0
press,86400.0,259200.0
file,86400.0,86400.0
claim,315360000.0,315360000.0
resolutions,94608000.0,630720000.0
impose,86400.0,604800
force,604800,7776000.0
overrule,94608000.0,630720000.0
leave,86400.0,604800
set,604800,2592000.0
move,3600.0,259200.0
send,86400.0,604800
spend,31536000.0,315360000.0
part,31536000.0,315360000.0
serve,86400.0,7776000.0
express,2592000.0,15552000.0
hope,604800,94608000.0
follow,2592000.0,10368000.0
go,5.0,60.0
make,86400.0,2592000.0
appoint,3600.0,86400.0
cite,15.0,600.0
drive,300.0,21600.0
order,60.0,3600.0
retire,1800.0,7200.0
march,3600.0,10800.0
burn,30.0,300.0
protest,7200.0,604800
kill,10.0,3600.0
bar,1800.0,21600.0
reach,2592000.0,2592000.0
allow,31536000.0,946080000.0
demonstrate,10800.0,86400.0
Stop,86400.0,604800
bloodshed,7776000.0,94608000.0
chant,1.0,10.0
lay,86400.0,2592000.0
try,5.0,60.0
eliminate,86400.0,2592000.0
restore,604800,15552000.0
clash,3600.0,14400.0
worry,86400.0,2592000.0
war,315360000.0,315360000.0
spill,86400.0,7776000.0
urge,60.0,3600.0
sign,600.0,3600.0
declaration,600.0,3600.0
solve,86400.0,31536000.0
change,2592000.0,94608000.0
declare,3.0,60.0
have,31536000.0,31536000.0
issue,31536000.0,157680000.0
enable,7776000.0,94608000.0
purchase,86400.0,2592000.0
exercise,3600.0,7200.0
investigate>,604800,2592000.0
investigate,86400.0,604800
shoot,2.0,5.0
touch,2.0,5.0
rampage,604800,2592000.0
slaughter,604800,1209600
reignite,2.0,5.0
look,2592000.0,31536000.0
consider,31536000.0,63072000.0
base,86400.0,2592000.0
finish,60.0,300.0
fund,31536000.0,630720000.0
adopt,31536000.0,315360000.0
design,604800,7776000.0
takeover,3600.0,86400.0
record,86400.0,86400.0
entitle,60.0,120.0
