event,probability
lead,0.47172619047619047
emerge,0.08779761904761904
plan,0.19940476190476192
carry,0.17857142857142858
allege,0.10416666666666667
connect,0.017857142857142856
believe,0.19940476190476192
approve,0.12202380952380952
challenge,0.05357142857142857
implement,0.044642857142857144
recommend,0.047619047619047616
shift,0.02976190476190476
abandon,0.06994047619047619
condemn,0.14285714285714285
allow,0.20684523809523808
devalue,0.005952380952380952
win,0.15178571428571427
suffer,0.10714285714285714
undergo,0.025297619047619048
inaugurate,0.020833333333333332
control,0.07291666666666667
sponsor,0.025297619047619048
create,0.20982142857142858
move,0.21875
tighten,0.013392857142857142
benefit,0.03273809523809524
increase,0.12202380952380952
use,0.23511904761904762
make,0.4166666666666667
reach,0.1488095238095238
evidence,0.005952380952380952
demand,0.17113095238095238
comment,0.052083333333333336
pour,0.010416666666666666
distort,0.005952380952380952
stop,0.08035714285714286
hear,0.09375
act,0.11904761904761904
centralize,0.002976190476190476
stand,0.08482142857142858
advance,0.047619047619047616
find,0.22321428571428573
collaborate,0.00744047619047619
supply,0.019345238095238096
fault,0.001488095238095238
shoot,0.11904761904761904
kill,0.28869047619047616
reorganize,0.01488095238095238
dismiss,0.15476190476190477
disarm,0.013392857142857142
give,0.38244047619047616
remove,0.19196428571428573
bring,0.22023809523809523
aspire,0.005952380952380952
compile,0.010416666666666666
have,0.34077380952380953
identify,0.05357142857142857
lose,0.18601190476190477
come,0.2976190476190476
fire,0.08779761904761904
replace,0.20684523809523808
claim,0.25744047619047616
represent,0.06398809523809523
face,0.13839285714285715
begin,0.3794642857142857
accuse,0.22470238095238096
accord,0.19791666666666666
divide,0.049107142857142856
felt,0.09821428571428571
receive,0.31101190476190477
form,0.25148809523809523
grow,0.12053571428571429
attend,0.15922619047619047
perceive,0.028273809523809524
saw,0.15773809523809523
object,0.046130952380952384
please,0.00744047619047619
write,0.21279761904761904
become,0.49404761904761907
throw,0.043154761904761904
reduce,0.07738095238095238
spurn,0.001488095238095238
compare,0.03422619047619048
handle,0.008928571428571428
meet,0.23214285714285715
