event,probability
define,0.06428212310565251
accord,0.1997414350355527
train,0.08819938231702938
use,0.3905049199166846
refer,0.1361775479422538
develop,0.20397902750843927
enter,0.17812253106370754
outstrip,0.0013646484234719528
expand,0.09559721324427206
obsolete,0.00043094160741219563
come,0.2832004596710479
responsible,0.03555268261150614
construct,0.050204697263520795
evolve,0.04172951231774761
lose,0.1855921855921856
replace,0.1307907778496014
saw,0.17007828772534656
focus,0.10874093227034404
plan,0.1157796451914099
lay,0.07110536522301228
oversee,0.03045320692379516
serve,0.3089851325145443
enable,0.05207211089564031
devise,0.01716584069525246
bypass,0.005243122890181713
appear,0.19133807369101485
maintain,0.12245924010629892
operate,0.12195647489765137
result,0.1834374775551246
form,0.1878905408317173
disband,0.03677368383250736
revise,0.01809954751131222
build,0.146807440925088
intend,0.07598937010701716
proliferate,0.002872944049414638
base,0.10644257703081232
include,0.24412842059900883
constitute,0.02406090641384759
move,0.2433383609854198
clear,0.047906342023989086
wear,0.060260001436472026
carry,0.20232708468002586
have,0.3934496875673346
demonstrate,0.055878761761114705
require,0.11326581914817209
authorise,0.007397830927242692
do,0.16253680959563313
teach,0.06162464985994398
become,0.45622351504704445
keen,0.0029447676506500035
hold,0.28334410687351863
bridge,0.002226531638296344
test,0.035480859010270774
change,0.1626086331968685
mark,0.08403361344537816
assume,0.09293973999856353
support,0.2340731164260576
gain,0.13107807225454285
task,0.03864109746462688
cause,0.20053149464914172
achieve,0.07088989441930618
prove,0.0853982618688501
inspire,0.06923795159089277
conduct,0.15635997988939165
lead,0.33304603892839185
organise,0.029088558500323207
deploy,0.158586511527688
retain,0.061265531853767145
breach,0.013287366228542699
associate,0.04409969115851469
take,0.45076492135315666
participate,0.1423543776484953
credit,0.048409107232636646
engineer,0.006679594914889032
utilize,0.022337139984198808
formulate,0.01608848667672197
list,0.07247001364648424
locate,0.06471306471306472
mandate,0.013861955038425626
find,0.28348775407598936
integrate,0.024491848021259786
map,0.00265747324570854
claim,0.25734396322631614
increase,0.15442074265603678
adapt,0.030022265316382964
refuse,0.1223155929038282
categorize,0.007972419737125619
choose,0.10486245780363428
make,0.44020685197155784
attend,0.13251454427925016
release,0.21855921855921856
influence,0.0721108956403074
receive,0.3474825827767004
aid,0.04144221791280615
incorporate,0.05401134812899519
spawn,0.009337068160597572
feature,0.09947568771098182
cite,0.12741506859153917
work,0.249658837894132
score,0.019033254327371973
rank,0.03813833225597932
appoint,0.1330891330891331
bear,0.13653666594843064
involve,0.16706169647346117
die,0.20706744236156002
decide,0.1646915176326941
go,0.25210084033613445
grow,0.12913883502118798
describe,0.23866982690512104
raise,0.13380736910148675
agree,0.1340946635064282
think,0.14644832291891116
follow,0.2032607914960856
listen,0.014939309056956116
settle,0.05616605616605617
interest,0.018530489118724413
start,0.21820010055304173
win,0.16275228039933923
burn,0.04395604395604396
fail,0.10744810744810745
act,0.07103354162177691
recall,0.03727644904115492
feel,0.02578467284349637
show,0.19004524886877827
study,0.07369101486748546
leave,0.2725705666882137
enrol,0.022193492781728077
join,0.23371399841988078
sign,0.14264167205343675
reach,0.14120520002872944
accept,0.10292322057027939
hinder,0.01098901098901099
peak,0.022408963585434174
discover,0.10040939452704159
tour,0.017453135100193924
begin,0.41600229835523955
write,0.2557638439991381
create,0.23902894491129786
undergo,0.05745888098829275
give,0.3410184586655175
revive,0.015944839474251238
stay,0.06004453063276593
greet,0.010917187387775622
point,0.07950872656755009
